a,b,k,f_coefs,test_name,alg,time
1,100,48,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010323524475097656
1,100,48,"[5, -1, 1, -5, -3, 3]",normal,4,4.291534423828125e-05
1,1000,48,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012044906616210938
1,1000,48,"[5, -1, 1, -5, -3, 3]",big b,4,5.1021575927734375e-05
1,100,49,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010371208190917969
1,100,49,"[5, -1, 1, -5, -3, 3]",normal,4,4.363059997558594e-05
1,1000,49,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011887550354003906
1,1000,49,"[5, -1, 1, -5, -3, 3]",big b,4,4.673004150390625e-05
1,100,50,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010371208190917969
1,100,50,"[5, -1, 1, -5, -3, 3]",normal,4,4.315376281738281e-05
1,1000,50,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011894702911376953
1,1000,50,"[5, -1, 1, -5, -3, 3]",big b,4,4.696846008300781e-05
1,100,51,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010347366333007812
1,100,51,"[5, -1, 1, -5, -3, 3]",normal,4,4.363059997558594e-05
1,1000,51,"[5, -1, 1, -5, -3, 3]",big b,3,0.0014598369598388672
1,1000,51,"[5, -1, 1, -5, -3, 3]",big b,4,8.535385131835938e-05
1,100,52,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010514259338378906
1,100,52,"[5, -1, 1, -5, -3, 3]",normal,4,4.887580871582031e-05
1,1000,52,"[5, -1, 1, -5, -3, 3]",big b,3,0.0015761852264404297
1,1000,52,"[5, -1, 1, -5, -3, 3]",big b,4,8.869171142578125e-05
1,100,53,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010538101196289062
1,100,53,"[5, -1, 1, -5, -3, 3]",normal,4,4.8160552978515625e-05
1,1000,53,"[5, -1, 1, -5, -3, 3]",big b,3,0.001196146011352539
1,1000,53,"[5, -1, 1, -5, -3, 3]",big b,4,5.269050598144531e-05
1,100,54,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010395050048828125
1,100,54,"[5, -1, 1, -5, -3, 3]",normal,4,4.458427429199219e-05
1,1000,54,"[5, -1, 1, -5, -3, 3]",big b,3,0.001291036605834961
1,1000,54,"[5, -1, 1, -5, -3, 3]",big b,4,6.151199340820312e-05
1,100,55,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010418891906738281
1,100,55,"[5, -1, 1, -5, -3, 3]",normal,4,4.57763671875e-05
1,1000,55,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011746883392333984
1,1000,55,"[5, -1, 1, -5, -3, 3]",big b,4,4.9114227294921875e-05
1,100,56,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010395050048828125
1,100,56,"[5, -1, 1, -5, -3, 3]",normal,4,4.4345855712890625e-05
1,1000,56,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011820793151855469
1,1000,56,"[5, -1, 1, -5, -3, 3]",big b,4,5.1021575927734375e-05
1,100,57,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010371208190917969
1,100,57,"[5, -1, 1, -5, -3, 3]",normal,4,4.38690185546875e-05
1,1000,57,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011777877807617188
1,1000,57,"[5, -1, 1, -5, -3, 3]",big b,4,5.626678466796875e-05
1,100,58,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010466575622558594
1,100,58,"[5, -1, 1, -5, -3, 3]",normal,4,4.863739013671875e-05
1,1000,58,"[5, -1, 1, -5, -3, 3]",big b,3,0.0014081001281738281
1,1000,58,"[5, -1, 1, -5, -3, 3]",big b,4,6.723403930664062e-05
1,100,59,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001049041748046875
1,100,59,"[5, -1, 1, -5, -3, 3]",normal,4,4.935264587402344e-05
1,1000,59,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011780261993408203
1,1000,59,"[5, -1, 1, -5, -3, 3]",big b,4,5.14984130859375e-05
1,100,60,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010347366333007812
1,100,60,"[5, -1, 1, -5, -3, 3]",normal,4,4.506111145019531e-05
1,1000,60,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011761188507080078
1,1000,60,"[5, -1, 1, -5, -3, 3]",big b,4,4.9114227294921875e-05
1,100,61,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010323524475097656
1,100,61,"[5, -1, 1, -5, -3, 3]",normal,4,4.458427429199219e-05
1,1000,61,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012052059173583984
1,1000,61,"[5, -1, 1, -5, -3, 3]",big b,4,8.559226989746094e-05
1,100,62,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012135505676269531
1,100,62,"[5, -1, 1, -5, -3, 3]",normal,4,0.00010561943054199219
1,1000,62,"[5, -1, 1, -5, -3, 3]",big b,3,0.0012180805206298828
1,1000,62,"[5, -1, 1, -5, -3, 3]",big b,4,7.700920104980469e-05
1,100,63,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012993812561035156
1,100,63,"[5, -1, 1, -5, -3, 3]",normal,4,0.00013828277587890625
1,1000,63,"[5, -1, 1, -5, -3, 3]",big b,3,0.002192974090576172
1,1000,63,"[5, -1, 1, -5, -3, 3]",big b,4,7.843971252441406e-05
1,100,64,"[5, -1, 1, -5, -3, 3]",normal,3,0.00012826919555664062
1,100,64,"[5, -1, 1, -5, -3, 3]",normal,4,6.270408630371094e-05
1,1000,64,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011985301971435547
1,1000,64,"[5, -1, 1, -5, -3, 3]",big b,4,7.557868957519531e-05
